Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.51,2.16,-4.28,CsL Sam high speed high angle,
0.004991,1.5,2.1,-3.96,CsL Sam high speed high angle,
0.103925,-0.12,2.54,-4.09,CsL Sam high speed high angle,
0.202113,2.57,0.72,-5.03,CsL Sam high speed high angle,
0.303329,2.69,0.66,-5.03,CsL Sam high speed high angle,
0.401499,3.12,0.79,-4.59,CsL Sam high speed high angle,
0.503392,2.0,1.72,-3.9,CsL Sam high speed high angle,
0.601575,1.25,2.72,-3.28,CsL Sam high speed high angle,
0.70277,0.31000000000000005,3.29,-3.03,CsL Sam high speed high angle,
0.80395,1.88,2.72,-3.09,CsL Sam high speed high angle,
0.902073,2.0,2.91,-2.65,CsL Sam high speed high angle,
1.003233,0.18000000000000016,3.79,-2.4,CsL Sam high speed high angle,
1.101362,0.8099999999999999,3.47,-2.53,CsL Sam high speed high angle,
1.202514,1.4300000000000002,3.04,-2.71,CsL Sam high speed high angle,
1.303657,1.44,2.91,-2.71,CsL Sam high speed high angle,
1.401903,1.87,2.91,-2.53,CsL Sam high speed high angle,
1.503858,3.7500000000000004,3.22,-1.21,CsL Sam high speed high angle,
1.602077,-5.51,5.91,-1.15,CsL Sam high speed high angle,
1.703304,-12.440000000000001,4.72,-5.9,CsL Sam high speed high angle,
1.801561,-5.749999999999998,-4.15,-12.71,CsL Sam high speed high angle,
1.902791,1.0,-12.71,-17.71,CsL Sam high speed high angle,
2.004004,2.69,-16.59,-20.15,CsL Sam high speed high angle,
2.102265,3.31,-18.21,-21.15,CsL Sam high speed high angle,
2.203498,2.630000000000001,-18.71,-21.53,CsL Sam high speed high angle,
2.301761,2.9299999999999997,-18.53,-20.9,CsL Sam high speed high angle,
2.403006,3.929999999999998,-17.46,-19.4,CsL Sam high speed high angle,
2.502388,3.5,-14.9,-16.78,CsL Sam high speed high angle,
2.60364,2.1900000000000013,-11.59,-14.09,CsL Sam high speed high angle,
2.701855,1.3100000000000023,-8.96,-11.78,CsL Sam high speed high angle,
2.80316,1.5599999999999987,-6.84,-9.59,CsL Sam high speed high angle,
2.901416,1.25,-4.65,-7.46,CsL Sam high speed high angle,
3.002666,0.25,-2.59,-5.71,CsL Sam high speed high angle,
3.103946,0.17999999999999972,-1.21,-4.53,CsL Sam high speed high angle,
3.202182,1.3200000000000038,-0.09,-3.03,CsL Sam high speed high angle,
3.303414,0.5600000000000023,1.54,-1.59,CsL Sam high speed high angle,
3.40169,1.4999999999999964,3.54,0.54,CsL Sam high speed high angle,
3.503364,-0.25,5.79,2.54,CsL Sam high speed high angle,
3.601611,-1.06,8.22,4.16,CsL Sam high speed high angle,
3.702808,-1.4400000000000004,10.72,6.16,CsL Sam high speed high angle,
