Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-1.63,0.91,1.72,"CounterSteering1, Budiman, small angle, 120rpm",
0.080402,-3.19,1.22,1.34,"CounterSteering1, Budiman, small angle, 120rpm",
0.181614,-1.75,0.09,0.66,"CounterSteering1, Budiman, small angle, 120rpm",
0.282797,1.56,-2.78,-0.84,"CounterSteering1, Budiman, small angle, 120rpm",
0.380989,2.13,-2.91,-0.66,"CounterSteering1, Budiman, small angle, 120rpm",
0.482164,1.13,-2.03,-0.16,"CounterSteering1, Budiman, small angle, 120rpm",
0.580342,-0.25,-1.28,0.22,"CounterSteering1, Budiman, small angle, 120rpm",
0.682157,-0.38,-1.03,0.28,"CounterSteering1, Budiman, small angle, 120rpm",
0.780368,-0.5,-0.97,0.22,"CounterSteering1, Budiman, small angle, 120rpm",
0.881517,-0.5,-1.09,0.03,"CounterSteering1, Budiman, small angle, 120rpm",
0.982722,-0.37000000000000005,-1.22,-0.16,"CounterSteering1, Budiman, small angle, 120rpm",
1.080895,0.62,-2.09,-0.53,"CounterSteering1, Budiman, small angle, 120rpm",
1.18202,0.44000000000000006,-2.22,-0.66,"CounterSteering1, Budiman, small angle, 120rpm",
1.28316,0.30999999999999994,-2.09,-0.66,"CounterSteering1, Budiman, small angle, 120rpm",
1.381278,0.94,-2.41,-0.59,"CounterSteering1, Budiman, small angle, 120rpm",
1.482413,0.3700000000000001,-1.78,-0.22,"CounterSteering1, Budiman, small angle, 120rpm",
1.580521,0.81,-1.72,0.03,"CounterSteering1, Budiman, small angle, 120rpm",
1.682172,-0.19,-0.91,0.66,"CounterSteering1, Budiman, small angle, 120rpm",
1.780379,-3.19,0.78,1.22,"CounterSteering1, Budiman, small angle, 120rpm",
1.881562,-3.7500000000000004,1.28,1.03,"CounterSteering1, Budiman, small angle, 120rpm",
1.982733,-0.3700000000000001,-0.97,0.16,"CounterSteering1, Budiman, small angle, 120rpm",
2.080929,4.37,-2.47,0.41,"CounterSteering1, Budiman, small angle, 120rpm",
2.182043,6.31,0.28,4.28,"CounterSteering1, Budiman, small angle, 120rpm",
2.28321,1.31,6.16,7.97,"CounterSteering1, Budiman, small angle, 120rpm",
2.381461,-1.06,10.09,10.47,"CounterSteering1, Budiman, small angle, 120rpm",
2.482734,-2.25,12.66,12.53,"CounterSteering1, Budiman, small angle, 120rpm",
2.581024,-5.44,15.47,14.16,"CounterSteering1, Budiman, small angle, 120rpm",
2.680466,-7.13,17.66,15.53,"CounterSteering1, Budiman, small angle, 120rpm",
2.781735,-10.370000000000001,19.53,16.28,"CounterSteering1, Budiman, small angle, 120rpm",
2.883046,-12.559999999999999,19.97,15.78,"CounterSteering1, Budiman, small angle, 120rpm",
2.981332,-11.069999999999997,18.22,13.59,"CounterSteering1, Budiman, small angle, 120rpm",
3.082606,-7.810000000000002,14.72,10.41,"CounterSteering1, Budiman, small angle, 120rpm",
3.1809,-3.2499999999999964,10.22,6.91,"CounterSteering1, Budiman, small angle, 120rpm",
3.282028,0.0,5.41,3.84,"CounterSteering1, Budiman, small angle, 120rpm",
3.383119,1.19,3.28,2.53,"CounterSteering1, Budiman, small angle, 120rpm",
3.481259,0.05999999999999994,2.97,1.84,"CounterSteering1, Budiman, small angle, 120rpm",
3.582426,-0.1200000000000001,2.47,1.34,"CounterSteering1, Budiman, small angle, 120rpm",
