Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.5,0.14,-2.49,"CSL, Budiman, small ang, small speed",
0.056402,2.0,-0.11,-2.36,"CSL, Budiman, small ang, small speed",
0.157564,2.01,0.14,-2.36,"CSL, Budiman, small ang, small speed",
0.258715,1.87,0.26,-2.36,"CSL, Budiman, small ang, small speed",
0.356893,1.94,0.14,-2.49,"CSL, Budiman, small ang, small speed",
0.457996,2.75,-0.61,-2.68,"CSL, Budiman, small ang, small speed",
0.559079,3.4400000000000004,-0.61,-2.43,"CSL, Budiman, small ang, small speed",
0.657307,2.5,0.14,-2.11,"CSL, Budiman, small ang, small speed",
0.758451,-0.25,0.76,-1.99,"CSL, Budiman, small ang, small speed",
0.85738,-0.25,0.7,-2.11,"CSL, Budiman, small ang, small speed",
0.958504,0.56,0.32,-2.11,"CSL, Budiman, small ang, small speed",
1.056653,0.32,0.45,-2.05,"CSL, Budiman, small ang, small speed",
1.157786,0.0,0.39,-2.3,"CSL, Budiman, small ang, small speed",
1.258998,1.25,-0.43,-2.68,"CSL, Budiman, small ang, small speed",
1.357122,1.88,-0.74,-2.68,"CSL, Budiman, small ang, small speed",
1.458218,1.94,-0.68,-2.55,"CSL, Budiman, small ang, small speed",
1.556298,1.5,-0.24,-2.3,"CSL, Budiman, small ang, small speed",
1.657413,1.38,0.07,-1.99,"CSL, Budiman, small ang, small speed",
1.758546,1.75,0.2,-1.68,"CSL, Budiman, small ang, small speed",
1.857117,1.56,0.82,-1.18,"CSL, Budiman, small ang, small speed",
1.958209,1.19,1.57,-0.55,"CSL, Budiman, small ang, small speed",
2.056371,0.8700000000000001,2.32,0.07,"CSL, Budiman, small ang, small speed",
2.157482,0.75,3.2,0.89,"CSL, Budiman, small ang, small speed",
2.258631,-2.94,5.07,1.95,"CSL, Budiman, small ang, small speed",
2.356825,-12.620000000000001,7.82,1.39,"CSL, Budiman, small ang, small speed",
2.457994,-13.560000000000002,6.32,-0.93,"CSL, Budiman, small ang, small speed",
2.559213,-8.87,2.07,-4.05,"CSL, Budiman, small ang, small speed",
2.657432,-1.8200000000000003,-3.3,-7.24,"CSL, Budiman, small ang, small speed",
2.758589,5.44,-8.86,-9.61,"CSL, Budiman, small ang, small speed",
2.85729,7.5600000000000005,-11.24,-10.68,"CSL, Budiman, small ang, small speed",
2.958463,6.69,-11.74,-11.24,"CSL, Budiman, small ang, small speed",
3.056644,6.75,-12.49,-11.86,"CSL, Budiman, small ang, small speed",
3.157825,7.75,-13.61,-12.43,"CSL, Budiman, small ang, small speed",
3.259011,8.57,-14.05,-12.36,"CSL, Budiman, small ang, small speed",
3.357179,7.869999999999999,-13.61,-11.99,"CSL, Budiman, small ang, small speed",
