Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-0.69,0.78,1.78,Left turn2,
0.026647,-0.31,0.28,1.59,Left turn2,
0.125177,-0.38,0.28,1.47,Left turn2,
0.22671,5.380000000000001,-2.22,1.34,Left turn2,
0.325275,5.25,-2.03,1.4,Left turn2,
0.426838,2.0600000000000005,-0.47,1.78,Left turn2,
0.525403,1.94,-0.22,1.84,Left turn2,
0.626961,3.820000000000001,-0.66,1.97,Left turn2,
0.72552,1.3099999999999996,0.84,2.65,Left turn2,
0.82751,-0.6799999999999997,2.09,3.22,Left turn2,
0.926061,-0.1299999999999999,2.34,3.72,Left turn2,
1.024602,0.05999999999999961,2.9,4.53,Left turn2,
1.126167,-3.37,5.03,5.65,Left turn2,
1.224732,-8.120000000000001,7.22,6.34,Left turn2,
1.326289,-9.81,8.22,6.9,Left turn2,
1.424909,-10.120000000000001,8.65,6.53,Left turn2,
1.526507,-10.12,8.84,6.97,Left turn2,
1.625097,-10.12,9.03,6.78,Left turn2,
1.726727,-10.56,9.09,6.9,Left turn2,
1.825793,-13.0,9.59,6.59,Left turn2,
1.927459,-13.880000000000003,10.22,5.84,Left turn2,
2.026155,-14.630000000000003,10.47,5.4,Left turn2,
2.124802,-14.320000000000004,10.53,5.03,Left turn2,
2.226469,-14.940000000000001,10.78,5.09,Left turn2,
2.325109,-15.689999999999998,11.22,5.28,Left turn2,
2.426711,-16.32,11.47,5.53,Left turn2,
2.525345,-15.5,11.28,5.78,Left turn2,
2.62701,-15.870000000000005,11.47,5.97,Left turn2,
2.725671,-17.689999999999998,12.34,5.84,Left turn2,
2.824758,-18.879999999999995,13.03,5.15,Left turn2,
2.926467,-19.25,13.34,4.65,Left turn2,
3.025143,-20.18,13.59,4.65,Left turn2,
3.1268,-21.680000000000007,12.59,4.4,Left turn2,
3.225452,-21.5,12.09,3.09,Left turn2,
3.32709,-22.620000000000005,11.28,2.59,Left turn2,
3.425677,-19.939999999999998,9.78,1.59,Left turn2,
3.527299,-15.25,7.47,0.78,Left turn2,
3.625847,-10.870000000000005,5.15,0.09,Left turn2,
3.727409,-7.25,3.15,-0.47,Left turn2,
3.826404,-2.0600000000000023,0.9,-0.72,Left turn2,
3.925004,-0.8100000000000023,0.03,-0.72,Left turn2,
4.026618,-2.3100000000000023,0.78,-0.66,Left turn2,
4.12519,-3.9399999999999977,1.53,-0.66,Left turn2,
4.226804,-3.5600000000000023,0.97,-0.91,Left turn2,
4.325381,-3.3100000000000023,0.72,-1.03,Left turn2,
4.427299,-2.4399999999999977,0.28,-1.1,Left turn2,
4.525888,-1.3100000000000023,-0.35,-1.03,Left turn2,
4.627523,-1.4399999999999977,-0.16,-0.91,Left turn2,
4.726159,-1.8100000000000023,-0.1,-0.85,Left turn2,
4.825227,-2.1899999999999977,-0.1,-0.85,Left turn2,
