Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.5,-0.15,0.35,"CSL, Budiman, med angle, high speed",
0.080285,1.13,0.29,0.47,"CSL, Budiman, med angle, high speed",
0.181838,1.38,0.1,0.35,"CSL, Budiman, med angle, high speed",
0.280033,2.2499999999999996,-0.59,0.29,"CSL, Budiman, med angle, high speed",
0.381185,2.31,-0.71,0.47,"CSL, Budiman, med angle, high speed",
0.479386,1.44,0.22,1.22,"CSL, Budiman, med angle, high speed",
0.580574,0.25,1.16,1.47,"CSL, Budiman, med angle, high speed",
0.681733,1.3099999999999996,0.91,1.35,"CSL, Budiman, med angle, high speed",
0.779877,1.75,0.85,1.29,"CSL, Budiman, med angle, high speed",
0.88107,0.0,1.35,1.29,"CSL, Budiman, med angle, high speed",
0.982263,-0.06999999999999984,1.1,0.79,"CSL, Budiman, med angle, high speed",
1.08049,1.5,-0.53,-0.34,"CSL, Budiman, med angle, high speed",
1.179434,3.25,-1.78,-0.84,"CSL, Budiman, med angle, high speed",
1.280597,2.63,-1.34,-0.46,"CSL, Budiman, med angle, high speed",
1.381745,1.5,-0.09,0.22,"CSL, Budiman, med angle, high speed",
1.479899,1.94,0.22,0.79,"CSL, Budiman, med angle, high speed",
1.581061,1.8199999999999998,1.1,1.6,"CSL, Budiman, med angle, high speed",
1.682183,1.63,2.35,2.6,"CSL, Budiman, med angle, high speed",
1.780388,1.44,3.47,3.72,"CSL, Budiman, med angle, high speed",
1.881516,0.1299999999999999,5.22,4.97,"CSL, Budiman, med angle, high speed",
1.979756,-9.0,7.72,3.79,"CSL, Budiman, med angle, high speed",
2.081032,-9.31,4.16,-1.65,"CSL, Budiman, med angle, high speed",
2.180289,3.94,-6.59,-9.53,"CSL, Budiman, med angle, high speed",
2.281538,14.500000000000002,-16.96,-14.71,"CSL, Budiman, med angle, high speed",
2.37983,14.06,-19.59,-14.4,"CSL, Budiman, med angle, high speed",
2.481029,8.379999999999999,-13.78,-10.4,"CSL, Budiman, med angle, high speed",
2.58228,4.310000000000002,-9.46,-8.4,"CSL, Budiman, med angle, high speed",
2.680457,3.5,-8.71,-8.34,"CSL, Budiman, med angle, high speed",
2.781698,4.25,-10.15,-9.84,"CSL, Budiman, med angle, high speed",
2.879909,6.129999999999999,-13.46,-12.28,"CSL, Budiman, med angle, high speed",
2.981123,8.010000000000002,-16.71,-14.15,"CSL, Budiman, med angle, high speed",
3.079348,9.320000000000004,-18.59,-15.15,"CSL, Budiman, med angle, high speed",
3.18174,8.75,-18.53,-14.96,"CSL, Budiman, med angle, high speed",
3.279994,7.810000000000002,-17.21,-13.84,"CSL, Budiman, med angle, high speed",
3.381268,6.689999999999998,-15.46,-12.4,"CSL, Budiman, med angle, high speed",
3.479522,6.3700000000000045,-14.34,-11.46,"CSL, Budiman, med angle, high speed",
3.580711,5.689999999999998,-13.46,-10.4,"CSL, Budiman, med angle, high speed",
3.681969,8.060000000000002,-13.4,-10.09,"CSL, Budiman, med angle, high speed",
