Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.69,4.97,-0.34,CsL Sam high speed small angle,
0.081149,1.3199999999999998,5.66,0.22,CsL Sam high speed small angle,
0.182304,1.25,5.72,0.29,CsL Sam high speed small angle,
0.280421,1.75,4.97,-0.4,CsL Sam high speed small angle,
0.381544,2.62,4.47,-0.59,CsL Sam high speed small angle,
0.482733,3.1799999999999997,4.54,-0.09,CsL Sam high speed small angle,
0.580905,1.44,5.6,0.41,CsL Sam high speed small angle,
0.682134,-0.18999999999999995,5.91,0.29,CsL Sam high speed small angle,
0.78032,0.68,5.16,-0.28,CsL Sam high speed small angle,
0.881511,0.87,4.47,-0.84,CsL Sam high speed small angle,
0.982697,1.81,3.85,-1.21,CsL Sam high speed small angle,
1.081593,2.75,3.47,-1.15,CsL Sam high speed small angle,
1.182716,1.88,3.97,-0.65,CsL Sam high speed small angle,
1.280847,0.81,5.16,0.04,CsL Sam high speed small angle,
1.382093,-4.1899999999999995,5.6,-1.53,CsL Sam high speed small angle,
1.480277,-5.75,2.1,-6.34,CsL Sam high speed small angle,
1.581506,-2.0,-5.15,-12.28,CsL Sam high speed small angle,
1.682752,2.5000000000000004,-12.28,-17.15,CsL Sam high speed small angle,
1.781014,6.5,-16.71,-19.15,CsL Sam high speed small angle,
1.882236,5.6899999999999995,-17.28,-19.09,CsL Sam high speed small angle,
1.980522,3.870000000000001,-15.34,-17.21,CsL Sam high speed small angle,
2.082921,3.8200000000000003,-13.65,-15.84,CsL Sam high speed small angle,
2.181248,3.629999999999999,-12.21,-14.34,CsL Sam high speed small angle,
2.282504,4.059999999999999,-10.71,-12.46,CsL Sam high speed small angle,
2.380759,4.260000000000002,-8.65,-10.15,CsL Sam high speed small angle,
2.481994,3.879999999999999,-5.9,-7.4,CsL Sam high speed small angle,
2.583161,2.3200000000000003,-2.71,-4.9,CsL Sam high speed small angle,
2.681407,2.0,-0.28,-2.71,CsL Sam high speed small angle,
2.782668,1.9299999999999997,1.6,-0.84,CsL Sam high speed small angle,
2.880897,0.8699999999999974,3.66,0.66,CsL Sam high speed small angle,
2.982087,-1.5,4.29,1.35,CsL Sam high speed small angle,
3.081012,-1.56,5.29,1.6,CsL Sam high speed small angle,
