Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.19,-1.28,-2.03,"CS, Budiman, small ang, high speed",
0.038468,1.94,-1.97,-2.53,"CS, Budiman, small ang, high speed",
0.139636,0.81,-2.72,-3.28,"CS, Budiman, small ang, high speed",
0.237763,-0.5,-1.03,-1.84,"CS, Budiman, small ang, high speed",
0.338953,-1.94,-0.28,-1.59,"CS, Budiman, small ang, high speed",
0.450134,-2.63,0.09,-1.59,"CS, Budiman, small ang, high speed",
0.539417,-1.81,-1.09,-2.28,"CS, Budiman, small ang, high speed",
0.637685,0.1200000000000001,-3.16,-3.91,"CS, Budiman, small ang, high speed",
0.738855,2.5,-4.47,-4.53,"CS, Budiman, small ang, high speed",
0.839989,1.69,-4.28,-4.53,"CS, Budiman, small ang, high speed",
0.938156,1.19,-3.72,-4.34,"CS, Budiman, small ang, high speed",
1.039323,1.56,-3.78,-4.28,"CS, Budiman, small ang, high speed",
1.137477,1.3699999999999997,-3.34,-3.78,"CS, Budiman, small ang, high speed",
1.238679,-1.06,-1.84,-3.03,"CS, Budiman, small ang, high speed",
1.339872,-1.19,-1.34,-2.53,"CS, Budiman, small ang, high speed",
1.451101,-0.6800000000000002,-0.97,-2.09,"CS, Budiman, small ang, high speed",
1.537348,-0.94,-0.34,-1.59,"CS, Budiman, small ang, high speed",
1.638517,-2.6199999999999997,0.59,-1.09,"CS, Budiman, small ang, high speed",
1.739718,-3.69,1.16,-0.91,"CS, Budiman, small ang, high speed",
1.837939,-2.0,0.53,-1.22,"CS, Budiman, small ang, high speed",
1.939186,5.0,-0.28,-0.09,"CS, Budiman, small ang, high speed",
2.037431,6.19,2.84,3.59,"CS, Budiman, small ang, high speed",
2.138744,0.06,9.91,8.97,"CS, Budiman, small ang, high speed",
2.240009,-11.0,15.66,11.97,"CS, Budiman, small ang, high speed",
2.338317,-11.74,16.34,12.22,"CS, Budiman, small ang, high speed",
2.452927,-8.12,14.41,10.91,"CS, Budiman, small ang, high speed",
2.539278,-6.060000000000002,11.91,9.09,"CS, Budiman, small ang, high speed",
2.637594,-5.059999999999999,9.91,7.28,"CS, Budiman, small ang, high speed",
2.738839,-2.5600000000000023,7.03,4.84,"CS, Budiman, small ang, high speed",
2.84011,0.4400000000000013,4.34,3.09,"CS, Budiman, small ang, high speed",
2.93829,1.25,3.16,2.34,"CS, Budiman, small ang, high speed",
3.039495,-2.56,4.78,3.28,"CS, Budiman, small ang, high speed",
