Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.75,-4.16,-8.97,"CS, Budiman, med angle, med speed",
0.095293,0.87,-3.09,-8.16,"CS, Budiman, med angle, med speed",
0.196535,-1.25,-1.84,-7.66,"CS, Budiman, med angle, med speed",
0.294733,0.9300000000000002,-3.22,-8.28,"CS, Budiman, med angle, med speed",
0.395895,1.25,-3.66,-8.53,"CS, Budiman, med angle, med speed",
0.494113,0.93,-3.41,-8.41,"CS, Budiman, med angle, med speed",
0.59529,0.32,-3.34,-8.59,"CS, Budiman, med angle, med speed",
0.696428,1.13,-3.78,-8.91,"CS, Budiman, med angle, med speed",
0.79459,0.5,-4.28,-8.91,"CS, Budiman, med angle, med speed",
0.896518,0.06999999999999995,-4.09,-8.78,"CS, Budiman, med angle, med speed",
0.99468,-1.0,-3.34,-8.41,"CS, Budiman, med angle, med speed",
1.095759,-0.8700000000000001,-3.34,-8.34,"CS, Budiman, med angle, med speed",
1.196969,-0.25,-3.41,-8.16,"CS, Budiman, med angle, med speed",
1.295148,-1.62,-2.72,-7.78,"CS, Budiman, med angle, med speed",
1.396334,-2.88,-2.16,-7.97,"CS, Budiman, med angle, med speed",
1.494538,-1.31,-3.28,-8.66,"CS, Budiman, med angle, med speed",
1.595718,0.25,-4.34,-9.03,"CS, Budiman, med angle, med speed",
1.696963,-0.12,-4.28,-9.03,"CS, Budiman, med angle, med speed",
1.795142,-0.37,-4.22,-8.97,"CS, Budiman, med angle, med speed",
1.894422,0.6200000000000001,-4.53,-8.97,"CS, Budiman, med angle, med speed",
1.99565,0.06,-4.34,-8.59,"CS, Budiman, med angle, med speed",
2.096761,-1.56,-3.34,-8.03,"CS, Budiman, med angle, med speed",
2.195009,-1.38,-2.28,-7.34,"CS, Budiman, med angle, med speed",
2.29616,6.88,-1.66,-3.97,"CS, Budiman, med angle, med speed",
2.394362,4.8100000000000005,3.78,1.09,"CS, Budiman, med angle, med speed",
2.495645,-5.4399999999999995,10.66,4.59,"CS, Budiman, med angle, med speed",
2.596946,-11.370000000000001,14.16,6.16,"CS, Budiman, med angle, med speed",
2.695231,-14.059999999999999,15.53,7.22,"CS, Budiman, med angle, med speed",
2.79647,-18.240000000000002,16.84,7.66,"CS, Budiman, med angle, med speed",
2.895791,-19.25,16.47,6.97,"CS, Budiman, med angle, med speed",
2.99711,-16.51,14.41,5.16,"CS, Budiman, med angle, med speed",
3.095331,-11.999999999999996,11.59,3.28,"CS, Budiman, med angle, med speed",
3.196651,-9.250000000000004,9.41,1.72,"CS, Budiman, med angle, med speed",
3.294917,-8.25,7.91,0.66,"CS, Budiman, med angle, med speed",
3.396163,-6.820000000000004,6.91,-0.03,"CS, Budiman, med angle, med speed",
3.494459,-6.690000000000001,6.22,-0.47,"CS, Budiman, med angle, med speed",
