Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-0.37,-4.47,-10.91,"CS, Budiman, med angle, high speed",
0.02664,-1.31,-3.66,-10.53,"CS, Budiman, med angle, high speed",
0.129182,-0.5,-3.91,-10.53,"CS, Budiman, med angle, high speed",
0.2274,0.06000000000000005,-4.09,-10.28,"CS, Budiman, med angle, high speed",
0.32859,0.43000000000000016,-4.09,-10.22,"CS, Budiman, med angle, high speed",
0.426795,-0.56,-3.78,-9.72,"CS, Budiman, med angle, high speed",
0.52798,-2.38,-2.59,-9.16,"CS, Budiman, med angle, high speed",
0.629185,-2.5599999999999996,-2.59,-9.28,"CS, Budiman, med angle, high speed",
0.727389,-1.0,-3.28,-9.47,"CS, Budiman, med angle, high speed",
0.828597,-0.81,-3.28,-9.28,"CS, Budiman, med angle, high speed",
0.926883,-1.81,-2.72,-9.03,"CS, Budiman, med angle, high speed",
1.028078,-1.5,-2.91,-9.22,"CS, Budiman, med angle, high speed",
1.127313,-0.5,-3.47,-9.41,"CS, Budiman, med angle, high speed",
1.228542,-0.6299999999999999,-2.97,-8.97,"CS, Budiman, med angle, high speed",
1.326782,-1.56,-2.53,-8.66,"CS, Budiman, med angle, high speed",
1.428002,-2.0,-2.09,-8.34,"CS, Budiman, med angle, high speed",
1.529224,3.57,-1.16,-6.28,"CS, Budiman, med angle, high speed",
1.627393,6.1899999999999995,2.34,-1.28,"CS, Budiman, med angle, high speed",
1.72864,3.06,8.66,3.97,"CS, Budiman, med angle, high speed",
1.826942,-4.4399999999999995,15.72,9.03,"CS, Budiman, med angle, high speed",
1.92818,-17.490000000000002,20.91,11.41,"CS, Budiman, med angle, high speed",
2.029513,-19.810000000000002,20.34,9.66,"CS, Budiman, med angle, high speed",
2.128869,-13.939999999999998,15.34,5.59,"CS, Budiman, med angle, high speed",
2.227195,-7.190000000000001,8.84,0.59,"CS, Budiman, med angle, high speed",
2.328449,-0.6300000000000026,3.16,-3.03,"CS, Budiman, med angle, high speed",
