Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-0.25,2.22,-0.78,CsL Sam Medium speed low angle,
0.089294,-0.4900000000000001,1.97,-1.15,CsL Sam Medium speed low angle,
0.190485,0.6200000000000001,1.79,-1.21,CsL Sam Medium speed low angle,
0.288699,1.69,0.85,-1.9,CsL Sam Medium speed low angle,
0.389878,2.57,-0.03,-2.28,CsL Sam Medium speed low angle,
0.491045,3.4400000000000004,-0.4,-2.28,CsL Sam Medium speed low angle,
0.589888,2.19,0.47,-1.78,CsL Sam Medium speed low angle,
0.691069,1.0,1.35,-1.28,CsL Sam Medium speed low angle,
0.789198,0.69,1.54,-1.21,CsL Sam Medium speed low angle,
0.890373,1.5,0.97,-1.4,CsL Sam Medium speed low angle,
0.988508,1.94,0.97,-1.4,CsL Sam Medium speed low angle,
1.089684,1.31,1.1,-1.34,CsL Sam Medium speed low angle,
1.190826,1.06,1.1,-1.46,CsL Sam Medium speed low angle,
1.28897,1.38,0.79,-1.65,CsL Sam Medium speed low angle,
1.390136,2.69,0.35,-1.65,CsL Sam Medium speed low angle,
1.488323,-1.63,1.16,-1.28,CsL Sam Medium speed low angle,
1.590548,-9.620000000000001,1.54,-3.78,CsL Sam Medium speed low angle,
1.688823,-4.94,-5.03,-9.46,CsL Sam Medium speed low angle,
1.790009,3.13,-13.65,-14.4,CsL Sam Medium speed low angle,
1.888226,5.4399999999999995,-17.28,-16.84,CsL Sam Medium speed low angle,
1.989483,5.25,-18.78,-18.4,CsL Sam Medium speed low angle,
2.090729,5.5,-19.65,-18.96,CsL Sam Medium speed low angle,
2.189033,5.250000000000002,-19.09,-17.03,CsL Sam Medium speed low angle,
2.290266,3.9400000000000013,-17.09,-15.4,CsL Sam Medium speed low angle,
2.388502,2.4400000000000013,-14.71,-13.65,CsL Sam Medium speed low angle,
2.48975,2.25,-13.03,-12.28,CsL Sam Medium speed low angle,
2.591729,2.0700000000000003,-11.46,-10.46,CsL Sam Medium speed low angle,
2.690015,1.5100000000000016,-9.4,-8.84,CsL Sam Medium speed low angle,
2.788248,-0.13000000000000256,-7.03,-6.96,CsL Sam Medium speed low angle,
2.889476,-0.25,-5.53,-5.4,CsL Sam Medium speed low angle,
2.990665,0.5,-4.09,-3.96,CsL Sam Medium speed low angle,
3.088895,-0.44000000000000483,-2.03,-2.15,CsL Sam Medium speed low angle,
3.190067,-2.440000000000005,-0.03,-0.65,CsL Sam Medium speed low angle,
3.288328,-3.7499999999999964,1.22,0.16,CsL Sam Medium speed low angle,
3.389539,-3.0699999999999967,1.66,0.79,CsL Sam Medium speed low angle,
3.49076,-2.2499999999999964,1.85,1.35,CsL Sam Medium speed low angle,
3.592771,-2.4400000000000013,2.29,1.85,CsL Sam Medium speed low angle,
