Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.3799999999999999,3.16,-2.09,Cs Sam low speed high angel,
0.032602,0.06000000000000005,2.91,-2.34,Cs Sam low speed high angel,
0.133802,0.75,2.54,-2.53,Cs Sam low speed high angel,
0.232011,1.44,2.22,-2.71,Cs Sam low speed high angel,
0.337007,1.62,2.1,-2.65,Cs Sam low speed high angel,
0.432246,1.81,2.1,-2.4,Cs Sam low speed high angel,
0.533449,2.0,2.35,-2.09,Cs Sam low speed high angel,
0.634651,1.75,3.16,-1.46,Cs Sam low speed high angel,
0.732835,0.31,3.85,-1.21,Cs Sam low speed high angel,
0.83398,-0.8700000000000001,4.47,-1.21,Cs Sam low speed high angel,
0.932176,-2.38,4.22,-2.15,Cs Sam low speed high angel,
1.033407,1.37,2.35,-2.84,Cs Sam low speed high angel,
1.134595,10.62,0.66,-1.03,Cs Sam low speed high angel,
1.232804,12.310000000000002,3.41,2.41,Cs Sam low speed high angel,
1.33777,9.75,8.66,6.6,Cs Sam low speed high angel,
1.433032,4.5,15.1,11.29,Cs Sam low speed high angel,
1.534244,-4.1899999999999995,21.41,15.29,Cs Sam low speed high angel,
1.632499,-20.32,27.29,17.97,Cs Sam low speed high angel,
1.733752,-26.499999999999996,27.72,17.04,Cs Sam low speed high angel,
1.832045,-20.13,23.54,13.1,Cs Sam low speed high angel,
1.933284,-9.0,17.1,8.54,Cs Sam low speed high angel,
2.03452,-3.0600000000000023,12.22,5.41,Cs Sam low speed high angel,
2.132777,2.12,9.54,3.41,Cs Sam low speed high angel,
2.23389,2.37,7.79,1.91,Cs Sam low speed high angel,
2.338578,3.0,6.35,0.72,Cs Sam low speed high angel,
2.433795,3.51,5.35,0.04,Cs Sam low speed high angel,
2.531997,4.0,4.72,-0.34,Cs Sam low speed high angel,
2.633202,3.56,4.72,-0.46,Cs Sam low speed high angel,
2.73437,3.01,4.72,-0.65,Cs Sam low speed high angel,
2.83256,2.82,4.47,-1.03,Cs Sam low speed high angel,
2.933756,2.81,4.16,-1.34,Cs Sam low speed high angel,
3.031963,2.94,3.85,-1.65,Cs Sam low speed high angel,
3.133142,3.5,3.41,-1.78,Cs Sam low speed high angel,
3.234314,4.25,3.04,-1.9,Cs Sam low speed high angel,
3.339317,4.0600000000000005,3.16,-1.84,Cs Sam low speed high angel,
3.434487,2.81,3.66,-1.71,Cs Sam low speed high angel,
3.532748,2.69,3.47,-1.96,Cs Sam low speed high angel,
3.633925,3.19,3.22,-2.09,Cs Sam low speed high angel,
3.732142,3.0,3.16,-2.15,Cs Sam low speed high angel,
3.833309,2.94,2.91,-2.46,Cs Sam low speed high angel,
