Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,2.0,2.54,-0.65,"Cs,Sam  medium speed, small angel",
0.035552,1.19,2.72,-0.65,"Cs,Sam  medium speed, small angel",
0.136674,1.25,2.54,-0.84,"Cs,Sam  medium speed, small angel",
0.234873,3.07,2.1,-0.59,"Cs,Sam  medium speed, small angel",
0.336826,3.12,2.35,-0.4,"Cs,Sam  medium speed, small angel",
0.434999,1.5,2.97,-0.28,"Cs,Sam  medium speed, small angel",
0.536147,1.8800000000000003,3.16,0.04,"Cs,Sam  medium speed, small angel",
0.634326,1.8100000000000005,3.29,0.16,"Cs,Sam  medium speed, small angel",
0.735473,0.5,3.79,0.22,"Cs,Sam  medium speed, small angel",
0.836668,-0.3700000000000001,3.79,-0.28,"Cs,Sam  medium speed, small angel",
0.934909,7.82,1.66,0.54,"Cs,Sam  medium speed, small angel",
1.036063,13.12,3.35,4.66,"Cs,Sam  medium speed, small angel",
1.134261,6.81,10.85,9.66,"Cs,Sam  medium speed, small angel",
1.235494,-0.05999999999999961,16.79,13.6,"Cs,Sam  medium speed, small angel",
1.334784,-8.75,21.72,16.16,"Cs,Sam  medium speed, small angel",
1.436065,-15.499999999999998,23.79,16.47,"Cs,Sam  medium speed, small angel",
1.534374,-14.37,22.72,14.85,"Cs,Sam  medium speed, small angel",
1.63563,-10.750000000000002,19.85,12.35,"Cs,Sam  medium speed, small angel",
1.736906,-8.310000000000002,16.79,9.47,"Cs,Sam  medium speed, small angel",
1.835142,-7.119999999999997,13.6,6.29,"Cs,Sam  medium speed, small angel",
1.936332,2.75,8.79,3.16,"Cs,Sam  medium speed, small angel",
2.034504,7.630000000000001,5.6,1.72,"Cs,Sam  medium speed, small angel",
2.13561,7.0,4.97,1.22,"Cs,Sam  medium speed, small angel",
2.23677,5.4399999999999995,5.1,0.72,"Cs,Sam  medium speed, small angel",
2.335414,4.75,4.79,0.16,"Cs,Sam  medium speed, small angel",
2.436535,4.880000000000001,4.04,-0.46,"Cs,Sam  medium speed, small angel",
2.534661,5.75,3.29,-0.9,"Cs,Sam  medium speed, small angel",
2.635829,5.75,2.97,-1.15,"Cs,Sam  medium speed, small angel",
2.733995,5.6899999999999995,2.79,-1.4,"Cs,Sam  medium speed, small angel",
2.835156,5.82,2.66,-1.46,"Cs,Sam  medium speed, small angel",
2.936308,6.25,2.6,-1.34,"Cs,Sam  medium speed, small angel",
3.034498,5.940000000000001,3.16,-0.78,"Cs,Sam  medium speed, small angel",
3.135651,4.57,3.91,-0.46,"Cs,Sam  medium speed, small angel",
