Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.5,3.81,1.74,straight 2,
0.038609,0.31000000000000005,4.06,1.81,straight 2,
0.137071,0.75,3.68,1.56,straight 2,
0.238636,0.81,4.12,1.81,straight 2,
0.336986,0.75,4.12,1.87,straight 2,
0.438526,0.18999999999999995,4.49,2.06,straight 2,
0.537108,-1.56,5.24,2.24,straight 2,
0.638625,-1.63,5.18,2.18,straight 2,
0.737184,0.0,4.62,1.81,straight 2,
0.838717,0.38,4.31,1.87,straight 2,
0.937229,-0.31,4.68,1.99,straight 2,
1.038817,-0.5700000000000001,4.93,1.99,straight 2,
1.137379,-0.6900000000000001,4.93,1.99,straight 2,
1.238985,-0.49999999999999994,4.87,1.99,straight 2,
1.338273,-0.6900000000000001,4.93,1.99,straight 2,
1.439878,-0.6800000000000002,4.99,2.06,straight 2,
1.538474,-0.06,4.74,1.99,straight 2,
1.63702,0.0,4.74,1.99,straight 2,
1.738541,-0.31,4.87,1.93,straight 2,
1.837092,0.31,4.68,1.93,straight 2,
1.93857,1.13,4.37,1.74,straight 2,
2.03709,0.25000000000000006,4.87,1.93,straight 2,
2.138639,-0.8200000000000001,5.43,2.12,straight 2,
2.23722,-1.0,5.56,2.06,straight 2,
2.339465,-0.69,5.49,1.99,straight 2,
2.438024,-1.44,5.74,1.93,straight 2,
2.539522,-0.93,5.56,1.87,straight 2,
2.638061,0.6299999999999999,5.12,1.81,straight 2,
2.739594,0.38,5.49,2.12,straight 2,
2.838155,-1.0,6.12,2.24,straight 2,
2.939734,-1.5699999999999998,6.12,2.37,straight 2,
3.038308,-2.01,6.18,2.43,straight 2,
3.13992,-2.25,6.37,2.49,straight 2,
3.238496,-2.94,6.49,2.37,straight 2,
3.337766,-4.06,6.74,2.24,straight 2,
3.439339,-2.0600000000000005,5.93,1.87,straight 2,
