Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,4.619999999999999,-6.78,-7.72,"90Rpm, Budiman, Straight",
0.101085,4.57,-7.59,-7.84,"90Rpm, Budiman, Straight",
0.202138,1.3699999999999997,-7.41,-7.59,"90Rpm, Budiman, Straight",
0.300264,0.17999999999999972,-5.78,-7.03,"90Rpm, Budiman, Straight",
0.401375,1.3800000000000008,-5.78,-7.03,"90Rpm, Budiman, Straight",
0.600615,-5.19,-6.22,-5.91,"90Rpm, Budiman, Straight",
0.79993,-3.25,-4.66,-5.59,"90Rpm, Budiman, Straight",
1.002717,-3.26,-3.41,-5.78,"90Rpm, Budiman, Straight",
1.100882,-2.31,-4.22,-5.91,"90Rpm, Budiman, Straight",
1.300163,-0.94,-4.78,-5.78,"90Rpm, Budiman, Straight",
1.401287,-0.3799999999999999,-5.03,-5.28,"90Rpm, Budiman, Straight",
1.502473,-1.88,-4.03,-5.22,"90Rpm, Budiman, Straight",
1.600628,-2.44,-3.72,-5.41,"90Rpm, Budiman, Straight",
1.701786,-2.69,-3.84,-5.53,"90Rpm, Budiman, Straight",
1.799948,-2.44,-4.16,-5.72,"90Rpm, Budiman, Straight",
1.901032,-1.75,-4.59,-5.84,"90Rpm, Budiman, Straight",
2.201464,0.5,-5.16,-5.53,"90Rpm, Budiman, Straight",
2.302584,0.44,-4.91,-5.28,"90Rpm, Budiman, Straight",
2.400725,0.0,-4.47,-5.16,"90Rpm, Budiman, Straight",
2.501866,-1.06,-3.97,-5.16,"90Rpm, Budiman, Straight",
2.599935,-1.5,-4.78,-5.34,"90Rpm, Budiman, Straight",
2.701063,-0.13,-4.91,-5.41,"90Rpm, Budiman, Straight",
2.802212,0.0,-4.59,-5.16,"90Rpm, Budiman, Straight",
2.900355,-0.44,-5.03,-5.59,"90Rpm, Budiman, Straight",
3.201295,0.32,-5.66,0.0,"90Rpm, Budiman, Straight",
