Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,3.8699999999999997,4.22,-1.65,"Cs,Sam,low speed, small ang",
0.053478,3.12,4.97,-1.15,"Cs,Sam,low speed, small ang",
0.15469,-0.25000000000000006,5.35,-1.28,"Cs,Sam,low speed, small ang",
0.253895,1.0,3.41,-2.59,"Cs,Sam,low speed, small ang",
0.355092,2.87,2.6,-2.9,"Cs,Sam,low speed, small ang",
0.453228,4.81,2.04,-2.21,"Cs,Sam,low speed, small ang",
0.5544,1.8199999999999998,3.66,-1.53,"Cs,Sam,low speed, small ang",
0.655561,-0.4900000000000001,5.04,-1.09,"Cs,Sam,low speed, small ang",
0.75373,-1.31,4.72,-1.53,"Cs,Sam,low speed, small ang",
0.854889,1.31,3.79,-1.78,"Cs,Sam,low speed, small ang",
0.953095,1.9300000000000002,3.6,-1.59,"Cs,Sam,low speed, small ang",
1.054269,0.6200000000000001,3.85,-1.71,"Cs,Sam,low speed, small ang",
1.155421,1.12,3.47,-2.03,"Cs,Sam,low speed, small ang",
1.254332,5.88,2.35,-1.53,"Cs,Sam,low speed, small ang",
1.355535,14.180000000000001,3.1,2.22,"Cs,Sam,low speed, small ang",
1.453779,9.560000000000002,9.66,7.47,"Cs,Sam,low speed, small ang",
1.555028,-14.370000000000001,18.16,11.22,"Cs,Sam,low speed, small ang",
1.653265,-23.0,21.54,12.35,"Cs,Sam,low speed, small ang",
1.754557,-22.060000000000002,21.04,11.79,"Cs,Sam,low speed, small ang",
1.852884,-22.69,19.66,10.16,"Cs,Sam,low speed, small ang",
1.954191,-19.070000000000004,16.85,7.54,"Cs,Sam,low speed, small ang",
2.055476,-12.819999999999997,12.41,4.6,"Cs,Sam,low speed, small ang",
2.15379,-7.190000000000001,8.79,2.47,"Cs,Sam,low speed, small ang",
2.255814,-6.319999999999997,7.16,1.29,"Cs,Sam,low speed, small ang",
2.354087,-5.25,5.79,0.29,"Cs,Sam,low speed, small ang",
2.455371,-3.6899999999999977,5.04,0.1,"Cs,Sam,low speed, small ang",
2.553569,-5.260000000000002,5.47,0.29,"Cs,Sam,low speed, small ang",
2.654792,-6.629999999999999,6.04,0.29,"Cs,Sam,low speed, small ang",
2.753005,-0.94,6.22,0.22,"Cs,Sam,low speed, small ang",
2.854194,-2.31,6.16,-0.4,"Cs,Sam,low speed, small ang",
2.955363,-0.9300000000000002,4.91,-1.21,"Cs,Sam,low speed, small ang",
3.053558,0.81,3.6,-1.78,"Cs,Sam,low speed, small ang",
3.154747,1.25,3.22,-1.9,"Cs,Sam,low speed, small ang",
3.253675,0.81,3.1,-2.15,"Cs,Sam,low speed, small ang",
3.354879,0.8799999999999999,2.72,-2.53,"Cs,Sam,low speed, small ang",
3.453142,1.75,2.1,-2.78,"Cs,Sam,low speed, small ang",
3.554415,2.19,1.85,-2.84,"Cs,Sam,low speed, small ang",
3.65559,2.06,1.97,-2.65,"Cs,Sam,low speed, small ang",
3.753772,1.75,2.16,-2.53,"Cs,Sam,low speed, small ang",
