Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,4.059999999999999,0.47,-3.96,CsL Sam low speed high angle,
0.017559,3.8200000000000003,0.85,-3.53,CsL Sam low speed high angle,
0.118966,2.75,1.6,-3.09,CsL Sam low speed high angle,
0.217225,2.4400000000000013,2.41,-2.34,CsL Sam low speed high angle,
0.318494,2.5,2.41,-2.28,CsL Sam low speed high angle,
0.416708,2.6900000000000013,2.35,-2.21,CsL Sam low speed high angle,
0.51791,2.6799999999999997,2.54,-2.03,CsL Sam low speed high angle,
0.619168,2.3100000000000023,2.72,-1.96,CsL Sam low speed high angle,
0.71812,2.3800000000000026,2.66,-2.03,CsL Sam low speed high angle,
0.819329,2.6900000000000013,2.29,-2.21,CsL Sam low speed high angle,
0.917556,2.9399999999999977,2.16,-2.21,CsL Sam low speed high angle,
1.018775,2.5,2.35,-2.15,CsL Sam low speed high angle,
1.117083,2.620000000000001,2.22,-2.28,CsL Sam low speed high angle,
1.218296,3.1900000000000013,1.97,-2.34,CsL Sam low speed high angle,
1.31657,4.129999999999999,1.79,-2.15,CsL Sam low speed high angle,
1.417774,4.440000000000001,2.47,-1.15,CsL Sam low speed high angle,
1.519026,-9.440000000000001,5.1,-1.78,CsL Sam low speed high angle,
1.617262,-13.25,2.85,-6.53,CsL Sam low speed high angle,
1.716883,-5.6899999999999995,-6.15,-13.15,CsL Sam low speed high angle,
1.818121,3.8099999999999996,-16.21,-18.46,CsL Sam low speed high angle,
1.91935,7.06,-20.78,-21.15,CsL Sam low speed high angle,
2.017632,7.06,-21.34,-21.09,CsL Sam low speed high angle,
2.118877,7.0600000000000005,-20.15,-20.03,CsL Sam low speed high angle,
2.217135,6.809999999999999,-18.4,-18.09,CsL Sam low speed high angle,
2.318337,5.060000000000002,-15.53,-15.28,CsL Sam low speed high angle,
2.416596,3.8800000000000026,-11.71,-12.4,CsL Sam low speed high angle,
2.517769,2.5100000000000016,-8.96,-9.78,CsL Sam low speed high angle,
2.618994,1.4399999999999977,-5.9,-7.53,CsL Sam low speed high angle,
2.718029,0.5,-3.96,-5.71,CsL Sam low speed high angle,
2.819229,0.5,-2.34,-4.15,CsL Sam low speed high angle,
2.917468,-0.6299999999999955,-0.59,-2.78,CsL Sam low speed high angle,
3.018701,-1.0600000000000023,0.35,-1.96,CsL Sam low speed high angle,
3.116959,-1.3100000000000023,1.04,-1.4,CsL Sam low speed high angle,
3.218232,-0.17999999999999972,1.35,-0.78,CsL Sam low speed high angle,
3.316486,1.5,2.22,0.54,CsL Sam low speed high angle,
3.417664,-1.1900000000000048,3.41,1.29,CsL Sam low speed high angle,
3.518898,-0.19000000000000006,4.79,2.1,CsL Sam low speed high angle,
3.617112,-1.5699999999999998,6.66,3.35,CsL Sam low speed high angle,
3.719046,-2.81,7.6,3.79,CsL Sam low speed high angle,
3.817301,-1.81,7.16,3.47,CsL Sam low speed high angle,
3.918426,0.0,7.29,4.1,CsL Sam low speed high angle,
4.016574,-0.3099999999999996,7.6,4.47,CsL Sam low speed high angle,
