Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.94,-0.03,-4.15,"CSL, Budiman, med angle, med speed",
0.068398,1.6800000000000002,-0.96,-4.71,"CSL, Budiman, med angle, med speed",
0.169544,2.0,-1.03,-4.59,"CSL, Budiman, med angle, med speed",
0.270783,2.63,-1.15,-4.71,"CSL, Budiman, med angle, med speed",
0.369005,2.9400000000000004,-1.28,-4.65,"CSL, Budiman, med angle, med speed",
0.470942,2.31,-0.71,-4.21,"CSL, Budiman, med angle, med speed",
0.569115,1.25,-0.03,-3.9,"CSL, Budiman, med angle, med speed",
0.67027,1.19,0.1,-3.84,"CSL, Budiman, med angle, med speed",
0.768416,2.0000000000000004,-0.4,-3.96,"CSL, Budiman, med angle, med speed",
0.869586,2.1199999999999997,-0.28,-3.84,"CSL, Budiman, med angle, med speed",
0.970759,1.94,-0.09,-3.65,"CSL, Budiman, med angle, med speed",
1.068981,1.8699999999999997,0.1,-3.53,"CSL, Budiman, med angle, med speed",
1.170113,2.07,0.16,-3.34,"CSL, Budiman, med angle, med speed",
1.268344,1.37,0.66,-3.09,"CSL, Budiman, med angle, med speed",
1.369484,1.3199999999999998,0.72,-3.15,"CSL, Budiman, med angle, med speed",
1.468441,2.3800000000000003,0.04,-3.4,"CSL, Budiman, med angle, med speed",
1.569642,2.6799999999999997,0.1,-3.21,"CSL, Budiman, med angle, med speed",
1.670798,2.8800000000000003,0.29,-2.96,"CSL, Budiman, med angle, med speed",
1.769004,3.13,0.66,-2.46,"CSL, Budiman, med angle, med speed",
1.870206,3.37,1.35,-1.71,"CSL, Budiman, med angle, med speed",
1.968447,-1.81,3.35,-0.28,"CSL, Budiman, med angle, med speed",
2.069685,-12.5,6.16,-0.84,"CSL, Budiman, med angle, med speed",
2.170961,-12.120000000000001,2.97,-4.84,"CSL, Budiman, med angle, med speed",
2.26919,-3.879999999999999,-4.9,-10.34,"CSL, Budiman, med angle, med speed",
2.370415,2.870000000000001,-13.09,-15.15,"CSL, Budiman, med angle, med speed",
2.469692,4.9399999999999995,-17.21,-17.84,"CSL, Budiman, med angle, med speed",
2.57091,3.56,-18.59,-19.53,"CSL, Budiman, med angle, med speed",
2.669132,4.8100000000000005,-20.96,-21.53,"CSL, Budiman, med angle, med speed",
2.770328,6.630000000000001,-23.84,-23.4,"CSL, Budiman, med angle, med speed",
2.868609,7.690000000000001,-24.09,-23.21,"CSL, Budiman, med angle, med speed",
2.969892,5.940000000000001,-22.28,-21.4,"CSL, Budiman, med angle, med speed",
3.07116,4.690000000000001,-19.71,-19.34,"CSL, Budiman, med angle, med speed",
3.169441,4.120000000000001,-17.53,-17.78,"CSL, Budiman, med angle, med speed",
3.270697,4.1299999999999955,-15.9,-16.21,"CSL, Budiman, med angle, med speed",
3.36899,4.439999999999998,-14.15,-14.53,"CSL, Budiman, med angle, med speed",
3.468322,4.690000000000005,-12.78,-13.09,"CSL, Budiman, med angle, med speed",
