Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-1.9300000000000002,-1.97,-8.22,"CS, Budiman, med ang, low speed",
0.065456,-3.06,-1.66,-8.28,"CS, Budiman, med ang, low speed",
0.163628,-1.75,-2.59,-8.84,"CS, Budiman, med ang, low speed",
0.265512,2.3800000000000003,-4.72,-9.47,"CS, Budiman, med ang, low speed",
0.363706,1.9400000000000004,-4.41,-9.41,"CS, Budiman, med ang, low speed",
0.464808,1.13,-3.97,-9.16,"CS, Budiman, med ang, low speed",
0.56597,-0.25,-3.28,-8.97,"CS, Budiman, med ang, low speed",
0.664127,-0.3799999999999999,-3.09,-8.91,"CS, Budiman, med ang, low speed",
0.765286,-0.75,-2.91,-8.72,"CS, Budiman, med ang, low speed",
0.863402,-1.0,-2.97,-8.84,"CS, Budiman, med ang, low speed",
0.964601,0.18999999999999995,-3.72,-9.22,"CS, Budiman, med ang, low speed",
1.065697,1.6800000000000002,-4.59,-9.53,"CS, Budiman, med ang, low speed",
1.163901,1.4300000000000002,-4.53,-9.41,"CS, Budiman, med ang, low speed",
1.265161,1.06,-4.22,-9.41,"CS, Budiman, med ang, low speed",
1.363312,1.4300000000000002,-4.41,-9.41,"CS, Budiman, med ang, low speed",
1.464426,-0.18,-4.34,-9.28,"CS, Budiman, med ang, low speed",
1.565582,-1.5,-3.47,-8.97,"CS, Budiman, med ang, low speed",
1.66376,-1.63,-3.47,-8.91,"CS, Budiman, med ang, low speed",
1.764957,0.06,-4.16,-9.03,"CS, Budiman, med ang, low speed",
1.866096,0.43999999999999995,-4.22,-8.78,"CS, Budiman, med ang, low speed",
1.964265,0.8799999999999999,-3.72,-8.22,"CS, Budiman, med ang, low speed",
2.065419,-0.56,-2.47,-7.28,"CS, Budiman, med ang, low speed",
2.163566,-2.68,-0.66,-6.34,"CS, Budiman, med ang, low speed",
2.265384,3.19,-0.41,-4.47,"CS, Budiman, med ang, low speed",
2.363596,5.0,2.41,-0.72,"CS, Budiman, med ang, low speed",
2.464765,-4.0600000000000005,8.53,2.72,"CS, Budiman, med ang, low speed",
2.565991,-12.370000000000001,12.66,4.66,"CS, Budiman, med ang, low speed",
2.664245,-16.19,14.22,5.66,"CS, Budiman, med ang, low speed",
2.765538,-16.5,14.41,5.97,"CS, Budiman, med ang, low speed",
2.863815,-16.880000000000003,14.59,6.16,"CS, Budiman, med ang, low speed",
2.965076,-18.44,14.47,5.91,"CS, Budiman, med ang, low speed",
3.063364,-18.63,13.34,4.78,"CS, Budiman, med ang, low speed",
3.164639,-16.62,11.16,2.91,"CS, Budiman, med ang, low speed",
3.266607,-13.260000000000002,8.34,0.84,"CS, Budiman, med ang, low speed",
3.364807,-8.870000000000001,4.78,-1.53,"CS, Budiman, med ang, low speed",
3.465995,-2.4400000000000013,0.47,-3.84,"CS, Budiman, med ang, low speed",
3.564103,3.18,-2.22,-5.09,"CS, Budiman, med ang, low speed",
3.763271,1.63,-2.22,-5.09,"CS, Budiman, med ang, low speed",
3.864418,-0.43999999999999995,-1.34,-4.84,"CS, Budiman, med ang, low speed",
