Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,2.3099999999999996,2.16,-3.21,"CSL, Budiman, med angle, med speed",
0.007897,1.75,2.41,-3.09,"CSL, Budiman, med angle, med speed",
0.106567,1.0000000000000004,2.79,-2.96,"CSL, Budiman, med angle, med speed",
0.207659,1.19,2.6,-3.21,"CSL, Budiman, med angle, med speed",
0.305792,1.25,2.47,-3.21,"CSL, Budiman, med angle, med speed",
0.406901,3.32,1.79,-3.28,"CSL, Budiman, med angle, med speed",
0.508006,2.94,2.29,-2.96,"CSL, Budiman, med angle, med speed",
0.606077,2.19,2.72,-2.65,"CSL, Budiman, med angle, med speed",
0.707149,2.3800000000000003,2.35,-2.9,"CSL, Budiman, med angle, med speed",
0.80825,2.9299999999999997,2.04,-3.03,"CSL, Budiman, med angle, med speed",
0.906337,2.2499999999999996,2.29,-2.9,"CSL, Budiman, med angle, med speed",
1.007812,2.07,2.35,-3.03,"CSL, Budiman, med angle, med speed",
1.105961,2.1799999999999997,2.1,-3.28,"CSL, Budiman, med angle, med speed",
1.207037,2.7499999999999996,1.54,-3.59,"CSL, Budiman, med angle, med speed",
1.308163,3.9400000000000004,0.79,-3.9,"CSL, Budiman, med angle, med speed",
1.406318,4.75,0.41,-3.96,"CSL, Budiman, med angle, med speed",
1.507452,4.4399999999999995,0.79,-3.65,"CSL, Budiman, med angle, med speed",
1.605613,3.6300000000000003,1.47,-3.28,"CSL, Budiman, med angle, med speed",
1.70673,3.75,1.6,-3.09,"CSL, Budiman, med angle, med speed",
1.807837,4.19,1.79,-2.71,"CSL, Budiman, med angle, med speed",
1.905878,3.38,2.66,-2.09,"CSL, Budiman, med angle, med speed",
2.007438,1.9999999999999996,3.79,-1.53,"CSL, Budiman, med angle, med speed",
2.105555,1.8800000000000003,4.04,-1.21,"CSL, Budiman, med angle, med speed",
2.206651,2.63,3.91,-1.15,"CSL, Budiman, med angle, med speed",
2.307781,3.75,3.66,-1.09,"CSL, Budiman, med angle, med speed",
2.405913,4.81,3.79,-0.59,"CSL, Budiman, med angle, med speed",
2.507042,-2.81,5.47,0.22,"CSL, Budiman, med angle, med speed",
2.608204,-15.680000000000001,8.22,-1.09,"CSL, Budiman, med angle, med speed",
2.706413,-19.75,7.04,-4.59,"CSL, Budiman, med angle, med speed",
2.807588,-11.680000000000001,0.72,-9.03,"CSL, Budiman, med angle, med speed",
2.905809,-2.0599999999999987,-6.84,-12.9,"CSL, Budiman, med angle, med speed",
3.008018,6.000000000000001,-13.4,-15.59,"CSL, Budiman, med angle, med speed",
