Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,1.75,3.39,7.2,"CSL, Budiman, small angle, med speed",
0.029553,1.44,3.89,7.45,"CSL, Budiman, small angle, med speed",
0.127795,0.1200000000000001,4.51,7.64,"CSL, Budiman, small angle, med speed",
0.22898,0.6299999999999999,4.57,7.64,"CSL, Budiman, small angle, med speed",
0.330149,0.43999999999999995,4.51,7.51,"CSL, Budiman, small angle, med speed",
0.428344,0.3799999999999999,4.51,7.45,"CSL, Budiman, small angle, med speed",
0.529537,0.31000000000000005,4.45,7.32,"CSL, Budiman, small angle, med speed",
0.627773,0.18000000000000016,4.2,7.01,"CSL, Budiman, small angle, med speed",
0.72899,0.94,3.95,6.89,"CSL, Budiman, small angle, med speed",
0.827604,1.37,3.76,6.89,"CSL, Budiman, small angle, med speed",
0.928785,0.13,4.45,7.2,"CSL, Budiman, small angle, med speed",
1.029981,-0.25,4.76,7.2,"CSL, Budiman, small angle, med speed",
1.128168,0.37000000000000005,4.39,6.95,"CSL, Budiman, small angle, med speed",
1.229288,0.31999999999999995,4.39,6.95,"CSL, Budiman, small angle, med speed",
1.327448,0.3799999999999999,4.45,6.89,"CSL, Budiman, small angle, med speed",
1.428627,0.1200000000000001,4.51,6.95,"CSL, Budiman, small angle, med speed",
1.529787,-0.43999999999999995,4.76,6.89,"CSL, Budiman, small angle, med speed",
1.627996,0.06999999999999984,4.45,6.64,"CSL, Budiman, small angle, med speed",
1.729134,0.7599999999999998,4.14,6.57,"CSL, Budiman, small angle, med speed",
1.827767,0.75,4.32,6.64,"CSL, Budiman, small angle, med speed",
1.928918,0.69,3.7,6.39,"CSL, Budiman, small angle, med speed",
2.030099,6.5,2.95,6.82,"CSL, Budiman, small angle, med speed",
2.12829,-1.0600000000000005,7.07,8.64,"CSL, Budiman, small angle, med speed",
2.229508,-10.44,10.7,8.39,"CSL, Budiman, small angle, med speed",
2.327766,-13.0,7.82,-0.99,"CSL, Budiman, small angle, med speed",
2.428989,-8.189999999999998,0.82,-5.8,"CSL, Budiman, small angle, med speed",
2.530233,-1.7499999999999982,-7.24,-11.43,"CSL, Budiman, small angle, med speed",
2.628494,1.0000000000000009,-12.99,-11.18,"CSL, Budiman, small angle, med speed",
2.829008,1.87,-15.8,0.0,"CSL, Budiman, small angle, med speed",
2.930219,8.13,-16.86,0.0,"CSL, Budiman, small angle, med speed",
