Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.07,1.91,-1.9,CsL Sam medium speed large angle,
0.029576,0.31,1.1,-2.65,CsL Sam medium speed large angle,
0.127807,2.5,0.41,-3.09,CsL Sam medium speed large angle,
0.228986,-1.31,4.35,0.22,CsL Sam medium speed large angle,
0.330168,-1.44,4.47,0.22,CsL Sam medium speed large angle,
0.428315,-1.94,4.04,-0.28,CsL Sam medium speed large angle,
0.529529,-0.6200000000000001,3.47,-0.59,CsL Sam medium speed large angle,
0.628752,-0.25,2.85,-0.96,CsL Sam medium speed large angle,
0.72994,0.6800000000000002,2.04,-1.46,CsL Sam medium speed large angle,
0.828227,1.44,1.47,-1.59,CsL Sam medium speed large angle,
0.929422,0.94,1.54,-1.65,CsL Sam medium speed large angle,
1.027659,0.81,1.54,-1.71,CsL Sam medium speed large angle,
1.128844,1.19,1.47,-1.59,CsL Sam medium speed large angle,
1.230084,0.6299999999999999,1.79,-1.34,CsL Sam medium speed large angle,
1.328272,0.3799999999999999,2.04,-1.34,CsL Sam medium speed large angle,
1.429447,0.8099999999999999,1.6,-1.4,CsL Sam medium speed large angle,
1.527649,2.19,1.22,-1.21,CsL Sam medium speed large angle,
1.629581,2.75,1.85,-0.15,CsL Sam medium speed large angle,
1.727784,-8.31,4.22,-1.28,CsL Sam medium speed large angle,
1.829019,-12.059999999999999,2.04,-5.71,CsL Sam medium speed large angle,
1.930236,-4.870000000000001,-6.59,-11.84,CsL Sam medium speed large angle,
2.028494,3.0600000000000005,-15.15,-16.28,CsL Sam medium speed large angle,
2.129708,5.0,-18.96,-18.34,CsL Sam medium speed large angle,
2.227924,3.6799999999999997,-18.59,-17.84,CsL Sam medium speed large angle,
2.329207,2.5,-16.96,-16.84,CsL Sam medium speed large angle,
2.427541,1.1799999999999997,-15.84,-15.96,CsL Sam medium speed large angle,
2.528838,1.0599999999999987,-15.21,-15.53,CsL Sam medium speed large angle,
2.628207,1.8099999999999987,-14.9,-14.71,CsL Sam medium speed large angle,
2.72946,2.370000000000001,-14.34,-13.59,CsL Sam medium speed large angle,
2.827784,2.3100000000000023,-12.78,-11.78,CsL Sam medium speed large angle,
2.929068,1.75,-10.71,-9.84,CsL Sam medium speed large angle,
3.030324,1.2500000000000036,-8.4,-7.78,CsL Sam medium speed large angle,
3.128564,0.18999999999999773,-5.96,-5.84,CsL Sam medium speed large angle,
3.229829,-0.37000000000000455,-3.9,-4.03,CsL Sam medium speed large angle,
3.328032,-0.9399999999999977,-1.96,-2.28,CsL Sam medium speed large angle,
3.429275,-1.25,-0.34,-0.9,CsL Sam medium speed large angle,
3.527509,-1.4399999999999977,1.54,0.79,CsL Sam medium speed large angle,
3.629424,0.12,3.16,1.91,CsL Sam medium speed large angle,
3.72762,-0.32,4.04,2.47,CsL Sam medium speed large angle,
3.828738,-0.56,4.16,2.47,CsL Sam medium speed large angle,
3.92994,1.62,3.6,2.6,CsL Sam medium speed large angle,
4.028134,1.38,4.29,3.35,CsL Sam medium speed large angle,
