Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,2.0,1.41,-1.15,Cs Sam High speed small angel,
0.044538,0.75,2.04,-1.15,Cs Sam High speed small angel,
0.145682,1.44,1.6,-1.4,Cs Sam High speed small angel,
0.246931,1.5699999999999998,1.29,-1.59,Cs Sam High speed small angel,
0.345128,1.12,1.47,-1.53,Cs Sam High speed small angel,
0.446311,1.62,1.41,-1.65,Cs Sam High speed small angel,
0.544534,2.56,1.04,-1.59,Cs Sam High speed small angel,
0.646476,1.81,1.72,-1.09,Cs Sam High speed small angel,
0.744611,-1.5,2.66,-1.4,Cs Sam High speed small angel,
0.845759,4.8100000000000005,0.54,-1.71,Cs Sam High speed small angel,
0.943954,12.879999999999999,1.35,3.16,Cs Sam High speed small angel,
1.045126,6.62,9.6,8.79,Cs Sam High speed small angel,
1.146406,-6.9399999999999995,18.41,13.6,Cs Sam High speed small angel,
1.244706,-9.31,21.6,15.54,Cs Sam High speed small angel,
1.346,-7.930000000000001,22.16,16.47,Cs Sam High speed small angel,
1.444315,-12.38,23.54,16.66,Cs Sam High speed small angel,
1.545595,-13.929999999999998,22.72,15.04,Cs Sam High speed small angel,
1.645355,-7.93,18.41,11.54,Cs Sam High speed small angel,
1.74662,-4.43,13.91,7.97,Cs Sam High speed small angel,
1.844837,1.56,10.04,4.79,Cs Sam High speed small angel,
1.945972,4.37,6.54,2.47,Cs Sam High speed small angel,
2.044182,5.880000000000001,4.72,1.35,Cs Sam High speed small angel,
2.145361,4.88,4.72,1.16,Cs Sam High speed small angel,
2.24653,3.5,5.04,0.97,Cs Sam High speed small angel,
2.344685,2.63,5.16,0.72,Cs Sam High speed small angel,
2.445803,1.94,4.97,0.16,Cs Sam High speed small angel,
2.544,2.87,3.97,-0.53,Cs Sam High speed small angel,
2.645682,3.5,3.29,-0.96,Cs Sam High speed small angel,
2.746893,3.25,2.97,-1.4,Cs Sam High speed small angel,
2.845099,3.32,2.54,-1.84,Cs Sam High speed small angel,
2.946282,3.5,1.97,-2.34,Cs Sam High speed small angel,
3.044405,3.75,1.54,-2.65,Cs Sam High speed small angel,
3.145625,4.130000000000001,1.16,-2.9,Cs Sam High speed small angel,
3.246798,4.4399999999999995,1.04,-2.96,Cs Sam High speed small angel,
3.344999,4.1899999999999995,0.97,-3.09,Cs Sam High speed small angel,
3.446167,4.3100000000000005,0.97,-3.09,Cs Sam High speed small angel,
3.54438,4.63,1.04,-2.9,Cs Sam High speed small angel,
3.646278,4.1899999999999995,1.47,-2.71,Cs Sam High speed small angel,
