Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-7.0600000000000005,4.22,1.4,Right turn,
0.00497,-4.69,3.15,1.09,Right turn,
0.10436,-3.880000000000001,2.72,1.09,Right turn,
0.202981,-4.369999999999999,2.59,0.47,Right turn,
0.304624,-4.129999999999999,2.47,0.28,Right turn,
0.403246,-2.5600000000000005,1.53,-0.1,Right turn,
0.502017,-0.5,0.53,-0.53,Right turn,
0.603681,0.5600000000000005,0.09,-0.6,Right turn,
0.702364,0.3100000000000005,0.15,-0.66,Right turn,
0.803979,-0.05999999999999872,0.03,-0.91,Right turn,
0.902614,0.05999999999999872,-0.53,-1.41,Right turn,
1.004144,0.56,-1.41,-2.16,Right turn,
1.102806,3.13,-2.97,-3.28,Right turn,
1.204349,6.5600000000000005,-4.78,-3.97,Right turn,
1.302939,8.379999999999999,-5.78,-4.6,Right turn,
1.404565,10.059999999999999,-6.35,-4.78,Right turn,
1.503146,12.059999999999999,-7.03,-4.85,Right turn,
1.60177,12.13,-6.47,-4.28,Right turn,
1.703374,11.37,-5.85,-3.85,Right turn,
1.802006,10.809999999999999,-5.66,-3.91,Right turn,
1.903613,11.440000000000001,-5.41,-3.6,Right turn,
2.002174,10.059999999999999,-4.66,-3.28,Right turn,
2.104749,6.689999999999998,-3.35,-3.22,Right turn,
2.20337,5.810000000000002,-3.53,-3.91,Right turn,
2.301912,8.189999999999998,-5.1,-4.72,Right turn,
2.403529,11.069999999999997,-6.66,-5.22,Right turn,
2.502142,13.069999999999997,-7.35,-5.41,Right turn,
2.603764,13.059999999999995,-7.35,-5.6,Right turn,
2.702388,11.619999999999997,-7.03,-5.85,Right turn,
2.804025,11.119999999999997,-7.22,-6.35,Right turn,
2.902726,12.129999999999995,-8.47,-7.28,Right turn,
3.004367,14.809999999999995,-10.35,-8.41,Right turn,
3.106991,18.68,-12.28,-9.28,Right turn,
3.202592,21.620000000000005,-12.85,-9.35,Right turn,
3.304145,19.810000000000002,-11.6,-8.47,Right turn,
3.402779,17.629999999999995,-10.28,-8.16,Right turn,
3.50439,18.75,-10.03,-7.22,Right turn,
3.603046,19.189999999999998,-9.53,-6.16,Right turn,
3.701616,18.5,-7.85,-4.28,Right turn,
3.80322,15.620000000000005,-5.47,-2.78,Right turn,
3.901784,12.879999999999995,-3.47,-1.97,Right turn,
4.003338,9.75,-1.85,-1.1,Right turn,
4.107992,6.560000000000002,0.15,-0.35,Right turn,
4.203534,3.3100000000000023,1.9,0.09,Right turn,
4.302086,-1.19,3.47,0.28,Right turn,
4.403933,-4.0,4.15,-0.03,Right turn,
4.502568,-5.18,4.22,-0.72,Right turn,
4.604117,-3.1199999999999997,2.9,-1.41,Right turn,
4.702741,0.31000000000000005,1.15,-1.72,Right turn,
4.804341,2.01,0.34,-1.85,Right turn,
4.902939,2.25,0.15,-1.97,Right turn,
5.004544,2.49,-0.1,-2.28,Right turn,
5.109838,3.19,-0.53,0.0,Right turn,
