Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-1.5,3.87,1.81,straight 5 long,
0.017605,0.3799999999999999,2.87,1.43,straight 5 long,
0.116203,1.63,2.37,1.49,straight 5 long,
0.217584,-1.06,3.74,1.81,straight 5 long,
0.316135,-1.0,3.68,1.74,straight 5 long,
0.417702,0.4900000000000001,2.56,1.24,straight 5 long,
0.516253,0.37,1.87,0.99,straight 5 long,
0.617814,0.06999999999999995,2.06,1.18,straight 5 long,
0.716391,-0.43999999999999995,2.37,1.31,straight 5 long,
0.817989,-0.43000000000000016,2.31,1.24,straight 5 long,
0.916554,-0.3799999999999999,2.31,1.18,straight 5 long,
1.018101,-0.31000000000000005,2.31,1.18,straight 5 long,
1.116683,-0.69,2.56,1.37,straight 5 long,
1.218406,-1.44,2.74,1.31,straight 5 long,
1.31704,-0.63,2.24,0.93,straight 5 long,
1.415627,0.6299999999999999,1.56,0.87,straight 5 long,
1.517256,-0.18,1.93,1.12,straight 5 long,
1.615863,-1.06,2.56,1.31,straight 5 long,
1.717528,-0.75,2.31,1.24,straight 5 long,
1.816172,-0.63,2.37,1.31,straight 5 long,
1.917765,-0.6799999999999999,2.37,1.37,straight 5 long,
2.01636,-1.19,2.62,1.37,straight 5 long,
2.117907,-0.93,2.56,1.37,straight 5 long,
2.216557,-0.44,2.31,1.37,straight 5 long,
2.318119,-0.5,2.49,1.49,straight 5 long,
2.41671,-1.25,2.81,1.62,straight 5 long,
2.518313,-1.87,3.06,1.56,straight 5 long,
2.616924,-0.6900000000000001,2.43,1.31,straight 5 long,
2.715578,0.19,1.99,1.37,straight 5 long,
2.81719,-0.75,2.49,1.56,straight 5 long,
2.915802,-1.44,2.87,1.68,straight 5 long,
3.017428,-1.25,2.74,1.62,straight 5 long,
3.116015,-0.8700000000000001,2.56,1.62,straight 5 long,
3.21778,-1.0,2.74,1.68,straight 5 long,
3.316393,-1.06,2.81,1.81,straight 5 long,
3.418006,-0.75,2.56,1.74,straight 5 long,
3.516633,-0.76,2.68,1.74,straight 5 long,
3.618261,-1.0,2.68,1.74,straight 5 long,
3.716863,-0.5700000000000001,2.43,1.68,straight 5 long,
3.818482,-0.31,2.49,1.81,straight 5 long,
3.917063,-0.44000000000000006,3.18,1.93,straight 5 long,
4.015702,0.31,2.56,1.81,straight 5 long,
4.117285,0.12,2.49,1.81,straight 5 long,
4.215968,-0.44,2.74,1.81,straight 5 long,
4.317586,0.06,2.62,1.81,straight 5 long,
4.416176,-0.07,2.49,1.68,straight 5 long,
4.518059,0.19,2.37,1.62,straight 5 long,
4.616706,0.44,2.31,1.68,straight 5 long,
4.718269,-0.26,2.56,1.74,straight 5 long,
4.816834,0.0,2.62,1.74,straight 5 long,
4.918415,0.06,2.56,1.81,straight 5 long,
5.017021,-0.18999999999999995,2.68,1.81,straight 5 long,
5.115622,-0.25,2.62,1.74,straight 5 long,
5.217356,0.32,2.24,1.68,straight 5 long,
5.315971,0.0,2.12,1.74,straight 5 long,
5.417515,-0.62,2.49,1.87,straight 5 long,
5.516068,-1.1800000000000002,2.87,1.99,straight 5 long,
5.617618,-1.19,2.93,1.93,straight 5 long,
5.716192,-1.06,2.81,1.81,straight 5 long,
5.81772,-0.5,2.43,1.68,straight 5 long,
5.916263,-0.3700000000000001,2.31,1.68,straight 5 long,
6.017799,-0.43000000000000005,2.31,1.62,straight 5 long,
6.116392,-0.3700000000000001,2.37,1.68,straight 5 long,
6.218061,0.25,2.24,1.81,straight 5 long,
6.316677,0.19,2.37,1.99,straight 5 long,
6.418266,-1.5099999999999998,2.99,2.06,straight 5 long,
6.516911,-1.31,2.87,1.99,straight 5 long,
6.61854,-0.5,2.43,1.62,straight 5 long,
