Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-0.75,-4.47,-4.91,"CS2, Budiman, small angle, low speed",
0.008022,0.18999999999999995,-5.16,-5.22,"CS2, Budiman, small angle, low speed",
0.10669,1.81,-5.72,-5.16,"CS2, Budiman, small angle, low speed",
0.207807,-0.44000000000000006,-4.03,-4.41,"CS2, Budiman, small angle, low speed",
0.308972,-0.57,-3.97,-4.34,"CS2, Budiman, small angle, low speed",
0.407859,-0.31,-3.97,-4.34,"CS2, Budiman, small angle, low speed",
0.508962,0.06,-4.03,-4.09,"CS2, Budiman, small angle, low speed",
0.607075,-1.94,-3.03,-3.91,"CS2, Budiman, small angle, low speed",
0.708231,-2.19,-3.03,-4.16,"CS2, Budiman, small angle, low speed",
0.809349,-0.8199999999999998,-3.97,-4.66,"CS2, Budiman, small angle, low speed",
0.907506,-0.43999999999999995,-4.22,-4.78,"CS2, Budiman, small angle, low speed",
1.008663,-0.81,-4.09,-4.84,"CS2, Budiman, small angle, low speed",
1.106765,-1.12,-4.16,-5.03,"CS2, Budiman, small angle, low speed",
1.207928,-0.25,-4.78,-5.47,"CS2, Budiman, small angle, low speed",
1.309041,-0.06,-5.84,-5.84,"CS2, Budiman, small angle, low speed",
1.407971,0.32,-6.03,-5.91,"CS2, Budiman, small angle, low speed",
1.509093,-0.63,-5.59,-5.84,"CS2, Budiman, small angle, low speed",
1.607271,-0.81,-5.41,-5.84,"CS2, Budiman, small angle, low speed",
1.708443,-0.37000000000000005,-5.47,-5.72,"CS2, Budiman, small angle, low speed",
1.806618,-0.44,-5.28,-5.59,"CS2, Budiman, small angle, low speed",
1.907759,-1.94,-4.41,-5.22,"CS2, Budiman, small angle, low speed",
2.008862,-2.81,-3.97,-5.09,"CS2, Budiman, small angle, low speed",
2.10698,-1.75,-4.34,-5.22,"CS2, Budiman, small angle, low speed",
2.208017,-1.25,-4.34,-4.97,"CS2, Budiman, small angle, low speed",
2.309107,-2.38,-3.53,-4.59,"CS2, Budiman, small angle, low speed",
2.407945,-3.94,-2.59,-4.41,"CS2, Budiman, small angle, low speed",
2.509011,0.44,-3.09,-4.34,"CS2, Budiman, small angle, low speed",
2.607097,4.9399999999999995,-3.41,-3.03,"CS2, Budiman, small angle, low speed",
2.708228,5.38,-1.41,-0.47,"CS2, Budiman, small angle, low speed",
2.809283,1.94,2.16,1.66,"CS2, Budiman, small angle, low speed",
2.90746,-1.37,4.66,2.84,"CS2, Budiman, small angle, low speed",
3.008646,-3.13,6.28,3.72,"CS2, Budiman, small angle, low speed",
3.106873,-6.5,8.41,4.72,"CS2, Budiman, small angle, low speed",
3.208063,-12.0,10.53,5.34,"CS2, Budiman, small angle, low speed",
3.309262,-17.0,11.84,4.97,"CS2, Budiman, small angle, low speed",
3.408197,-18.18,11.41,3.16,"CS2, Budiman, small angle, low speed",
3.509407,-15.380000000000003,9.53,1.59,"CS2, Budiman, small angle, low speed",
3.607639,-11.75,7.09,-0.22,"CS2, Budiman, small angle, low speed",
3.708842,-8.000000000000004,4.28,-2.16,"CS2, Budiman, small angle, low speed",
3.807084,-3.5,1.28,-3.84,"CS2, Budiman, small angle, low speed",
