Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,-2.94,3.53,0.78,Horry1,Tried straight
0.017551,-4.12,3.84,0.72,Horry1,Tried straight
0.116212,-3.63,3.47,0.59,Horry1,Tried straight
0.214736,-3.82,3.22,0.47,Horry1,Tried straight
0.316302,-3.81,3.22,0.47,Horry1,Tried straight
0.414823,-3.69,2.9,0.22,Horry1,Tried straight
0.516543,-3.6799999999999997,2.78,0.09,Horry1,Tried straight
0.615158,-3.0000000000000004,2.4,-0.16,Horry1,Tried straight
0.716717,-1.7500000000000004,1.97,-0.28,Horry1,Tried straight
0.81523,-1.4400000000000004,1.65,-0.53,Horry1,Tried straight
0.916767,-0.9400000000000004,1.28,-0.78,Horry1,Tried straight
1.015663,0.57,0.84,-1.03,Horry1,Tried straight
1.117144,1.75,0.34,-1.03,Horry1,Tried straight
1.21565,1.8199999999999998,0.47,-0.91,Horry1,Tried straight
1.317167,1.13,1.03,-0.66,Horry1,Tried straight
1.415655,0.3799999999999999,1.34,-0.6,Horry1,Tried straight
1.517142,-0.06999999999999984,1.59,-0.6,Horry1,Tried straight
1.615652,-0.31000000000000005,1.53,-0.72,Horry1,Tried straight
1.717194,0.1200000000000001,1.4,-0.72,Horry1,Tried straight
1.815739,0.5,1.4,-0.53,Horry1,Tried straight
1.917307,-0.5,1.84,-0.35,Horry1,Tried straight
2.016863,-1.4300000000000002,2.22,-0.35,Horry1,Tried straight
2.115401,-1.37,1.97,-0.53,Horry1,Tried straight
2.216888,-0.25,1.34,-0.78,Horry1,Tried straight
2.31537,0.25,1.15,-0.78,Horry1,Tried straight
2.416891,-0.1200000000000001,1.53,-0.47,Horry1,Tried straight
2.515416,-0.19,2.47,-0.03,Horry1,Tried straight
2.617003,-1.25,2.9,0.03,Horry1,Tried straight
2.715613,-0.94,2.78,-0.03,Horry1,Tried straight
2.817205,-0.06000000000000005,2.47,-0.03,Horry1,Tried straight
2.91577,0.3799999999999999,2.4,0.03,Horry1,Tried straight
3.014716,0.5700000000000001,2.59,0.22,Horry1,Tried straight
3.116228,-0.1200000000000001,3.03,0.47,Horry1,Tried straight
3.214764,-1.0699999999999998,3.47,0.59,Horry1,Tried straight
3.316313,-1.63,3.9,0.9,Horry1,Tried straight
