Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.13,-3.49,-8.24,"CSL, Budiman, small angle, high speed",
0.041533,-0.07,-3.49,-8.36,"CSL, Budiman, small angle, high speed",
0.142652,0.06,-3.8,-8.24,"CSL, Budiman, small angle, high speed",
0.24381,-1.4300000000000002,-2.3,-7.11,"CSL, Budiman, small angle, high speed",
0.34199,-2.13,-2.11,-7.24,"CSL, Budiman, small angle, high speed",
0.4432,-1.5,-2.99,-8.05,"CSL, Budiman, small angle, high speed",
0.541439,0.13,-4.93,-8.86,"CSL, Budiman, small angle, high speed",
0.642628,0.25,-5.18,-8.93,"CSL, Budiman, small angle, high speed",
0.741572,-0.88,-4.24,-8.61,"CSL, Budiman, small angle, high speed",
0.842706,-0.44,-4.3,-8.43,"CSL, Budiman, small angle, high speed",
0.943865,0.18999999999999995,-4.43,-7.99,"CSL, Budiman, small angle, high speed",
1.042089,-0.5699999999999998,-3.49,-7.18,"CSL, Budiman, small angle, high speed",
1.143305,-0.38,-2.11,-6.55,"CSL, Budiman, small angle, high speed",
1.241572,-0.5,-1.8,-6.43,"CSL, Budiman, small angle, high speed",
1.342793,0.25,-2.55,-6.86,"CSL, Budiman, small angle, high speed",
1.441042,1.0,-3.18,-6.99,"CSL, Budiman, small angle, high speed",
1.542282,0.6200000000000001,-2.86,-6.61,"CSL, Budiman, small angle, high speed",
1.64349,0.18999999999999995,-2.18,-6.18,"CSL, Budiman, small angle, high speed",
1.742515,-0.1299999999999999,-2.05,-6.18,"CSL, Budiman, small angle, high speed",
1.843759,0.5699999999999998,-2.43,-6.24,"CSL, Budiman, small angle, high speed",
1.941972,0.6800000000000002,-2.49,-5.99,"CSL, Budiman, small angle, high speed",
2.043159,0.62,-1.93,-5.43,"CSL, Budiman, small angle, high speed",
2.141362,0.8700000000000001,-1.43,-4.74,"CSL, Budiman, small angle, high speed",
2.242559,1.44,-0.61,-3.68,"CSL, Budiman, small angle, high speed",
2.343727,1.62,0.89,-1.86,"CSL, Budiman, small angle, high speed",
2.441952,-9.190000000000001,5.76,-0.99,"CSL, Budiman, small angle, high speed",
2.543165,-13.5,6.45,-3.86,"CSL, Budiman, small angle, high speed",
2.641399,-7.119999999999999,-0.86,-9.11,"CSL, Budiman, small angle, high speed",
2.743756,-1.0,-8.93,-13.3,"CSL, Budiman, small angle, high speed",
2.842038,0.0600000000000005,-13.74,-16.18,"CSL, Budiman, small angle, high speed",
