Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,2.07,5.6,-6.53,Cs Sam high speed high angel,
0.07139,2.0,5.79,-6.21,Cs Sam high speed high angel,
0.169567,1.62,6.6,-5.53,Cs Sam high speed high angel,
0.27074,-0.3799999999999999,7.16,-5.34,Cs Sam high speed high angel,
0.368918,0.0,6.54,-5.78,Cs Sam high speed high angel,
0.470848,1.8199999999999998,5.47,-6.21,Cs Sam high speed high angel,
0.568982,2.0,5.54,-6.03,Cs Sam high speed high angel,
0.670135,1.13,5.79,-5.84,Cs Sam high speed high angel,
0.771311,1.8699999999999997,5.79,-5.65,Cs Sam high speed high angel,
0.869447,2.32,6.22,-4.9,Cs Sam high speed high angel,
0.970634,0.8799999999999999,7.29,-4.15,Cs Sam high speed high angel,
1.068796,0.25,7.97,-3.71,Cs Sam high speed high angel,
1.169934,-0.5699999999999998,7.91,-3.96,Cs Sam high speed high angel,
1.271113,-0.18999999999999995,7.66,-4.09,Cs Sam high speed high angel,
1.369318,1.81,6.54,-4.53,Cs Sam high speed high angel,
1.471226,7.8100000000000005,6.6,-2.15,Cs Sam high speed high angel,
1.569414,9.25,11.04,2.85,Cs Sam high speed high angel,
1.670683,5.87,17.6,7.72,Cs Sam high speed high angel,
1.768969,-5.88,24.35,12.85,Cs Sam high speed high angel,
1.870262,-19.12,28.47,14.41,Cs Sam high speed high angel,
1.971528,-19.0,27.54,13.16,Cs Sam high speed high angel,
2.069835,-12.559999999999999,23.72,10.6,Cs Sam high speed high angel,
2.171085,-11.560000000000002,21.16,8.41,Cs Sam high speed high angel,
2.269373,-10.559999999999999,18.85,6.41,Cs Sam high speed high angel,
2.370665,-8.510000000000002,16.29,4.6,Cs Sam high speed high angel,
2.469752,-7.560000000000002,14.29,3.04,Cs Sam high speed high angel,
2.571013,-7.940000000000001,13.1,1.85,Cs Sam high speed high angel,
2.669286,-8.070000000000004,11.6,0.41,Cs Sam high speed high angel,
2.770588,-7.190000000000001,9.91,-0.9,Cs Sam high speed high angel,
2.868889,-6.190000000000001,8.41,-1.96,Cs Sam high speed high angel,
2.970168,-5.690000000000001,7.35,-2.71,Cs Sam high speed high angel,
3.071431,-6.2499999999999964,6.91,-3.21,Cs Sam high speed high angel,
3.169765,-6.2500000000000036,6.6,-3.46,Cs Sam high speed high angel,
3.271087,-6.129999999999999,6.22,-3.71,Cs Sam high speed high angel,
3.369374,-6.689999999999998,5.97,-3.96,Cs Sam high speed high angel,
3.471397,-6.690000000000001,5.54,-4.34,Cs Sam high speed high angel,
3.569723,-6.059999999999999,5.04,-4.65,Cs Sam high speed high angel,
