Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,0.1900000000000004,5.37,1.99,straight3,
0.056713,0.5699999999999998,5.31,2.12,straight3,
0.155244,-2.62,6.37,2.06,straight3,
0.256793,-2.6900000000000004,6.31,1.93,straight3,
0.355335,-1.5,5.87,1.87,straight3,
0.457035,-0.6900000000000004,5.68,1.87,straight3,
0.555588,-0.5,6.12,1.93,straight3,
0.657153,-0.63,6.31,1.93,straight3,
0.75571,-0.94,6.18,1.81,straight3,
0.85726,-1.31,5.99,1.74,straight3,
0.955799,-0.31000000000000005,5.56,1.56,straight3,
1.057371,-0.25,5.56,1.43,straight3,
1.155935,0.0,5.37,1.37,straight3,
1.257492,0.0,5.37,1.31,straight3,
1.356082,0.81,4.99,1.18,straight3,
1.457421,1.07,4.87,1.06,straight3,
1.55601,1.76,4.74,0.99,straight3,
1.657555,2.87,4.49,1.12,straight3,
1.756144,1.44,5.24,1.43,straight3,
1.857753,-0.31,6.06,1.68,straight3,
1.956327,-1.0,6.43,1.81,straight3,
2.057871,-1.44,6.49,1.87,straight3,
2.156458,-0.8700000000000001,6.37,1.87,straight3,
2.258037,-1.19,6.43,1.93,straight3,
2.356605,-3.19,7.18,1.93,straight3,
2.455905,-2.82,6.87,1.68,straight3,
2.557463,0.56,5.68,1.31,straight3,
2.656014,1.5,5.37,1.24,straight3,
