Time (s),Yaw,Front Roll,Rear Roll,Ride Name,Notes
0.0,2.5,3.35,-2.59,Cs Sam medium speed high angel,
0.029634,1.0,4.1,-2.34,Cs Sam medium speed high angel,
0.130855,2.13,3.79,-2.34,Cs Sam medium speed high angel,
0.232038,1.25,3.6,-2.78,Cs Sam medium speed high angel,
0.33997,2.0,3.29,-2.9,Cs Sam medium speed high angel,
0.429115,2.57,2.66,-3.09,Cs Sam medium speed high angel,
0.530279,2.31,2.85,-3.09,Cs Sam medium speed high angel,
0.631388,2.94,2.72,-2.96,Cs Sam medium speed high angel,
0.729593,2.06,3.04,-2.78,Cs Sam medium speed high angel,
0.830772,-1.5,4.16,-2.71,Cs Sam medium speed high angel,
0.931914,3.57,2.97,-2.59,Cs Sam medium speed high angel,
1.030141,12.31,3.04,0.6,Cs Sam medium speed high angel,
1.131318,9.57,8.16,4.79,Cs Sam medium speed high angel,
1.229484,4.63,14.16,9.1,Cs Sam medium speed high angel,
1.340133,2.0,18.91,12.91,Cs Sam medium speed high angel,
1.530662,-29.75,24.35,6.91,Cs Sam medium speed high angel,
1.730235,1.88,7.54,4.54,Cs Sam medium speed high angel,
1.831451,3.57,7.47,2.16,Cs Sam medium speed high angel,
2.030792,3.31,7.54,1.66,Cs Sam medium speed high angel,
2.340697,3.69,7.35,1.47,Cs Sam medium speed high angel,
2.429931,4.18,6.72,1.29,Cs Sam medium speed high angel,
2.531093,4.13,6.1,0.91,Cs Sam medium speed high angel,
2.62931,3.44,5.35,0.41,Cs Sam medium speed high angel,
2.7305,2.88,4.6,-0.03,Cs Sam medium speed high angel,
2.831687,3.13,4.1,-0.71,Cs Sam medium speed high angel,
2.929881,3.38,3.66,-1.15,Cs Sam medium speed high angel,
3.031083,2.5,3.72,-1.53,Cs Sam medium speed high angel,
3.129231,2.87,4.1,-1.59,Cs Sam medium speed high angel,
3.340966,4.5,4.16,-1.46,Cs Sam medium speed high angel,
3.430223,3.88,4.1,-1.46,Cs Sam medium speed high angel,
3.531404,3.87,4.04,-1.4,Cs Sam medium speed high angel,
3.629576,4.13,4.29,-1.28,Cs Sam medium speed high angel,
3.730756,0.0,4.41,-1.21,Cs Sam medium speed high angel,
3.83198,0.0,4.41,-1.21,Cs Sam medium speed high angel,
3.930163,0.0,0.0,0.0,Cs Sam medium speed high angel,
